name,trainer,breed,sex,neutered,birth,ulna_length,jump_height,age,runs,wrong_start,good_start,total_start,wrong_change,good_change,total_change,total_time,good_runs,run_ins,run_outside,wrong_start_ratio,wrong_change_ratio,run_in_ratio,run_outside_ratio,avg_start,avg_change,avg_time
Dexter,TM800418,Kooikerhondje,M,Y,2010-02-14,14.05,25.0,13.887671232876713,80,3,30,3.63,5,42,12.89,363.17,79,0,1,3.75,6.25,0.0,1.25,0.121,0.3069047619047619,4.597088607594937
Jasper,NP950613,Border Collie,M,Y,2011-03-28,16.56,30.0,12.772602739726027,40,0,9,3.1199999999999997,3,28,12.500000000000002,220.55999999999997,37,0,3,0.0,7.5,0.0,7.5,0.3466666666666666,0.4464285714285715,5.961081081081081
Angie,UF830429,Border Collie,F,Y,2014-02-06,15.22,27.5,9.906849315068493,33,0,4,0.39,3,26,19.119999999999997,177.41999999999996,31,1,1,0.0,9.090909090909092,3.0303030303030303,3.0303030303030303,0.0975,0.7353846153846153,5.7232258064516115
Alex,ZE801127,Border Collie,M,Y,2014-04-22,17.95,32.5,9.7013698630137,130,0,16,1.568,6,108,19.139999999999997,551.22,129,0,1,0.0,4.615384615384616,0.0,0.7692307692307693,0.098,0.1772222222222222,4.273023255813953
Ashley,DP910919,Border Collie,F,Y,2015-01-26,18.3,32.5,8.936986301369863,63,0,0,0.0,3,60,31.159999999999993,265.63,62,1,0,0.0,4.761904761904762,1.5873015873015872,0.0,,0.5193333333333332,4.284354838709677
Bella,OJ941014,American Staffordshire Terrier,F,Y,2015-02-27,14.7,25.0,8.849315068493151,159,0,0,0.0,18,141,48.49,740.86,157,0,2,0.0,11.320754716981133,0.0,1.257861635220126,,0.34390070921985816,4.718853503184714
Gordon,HO800728,Jack Russell Terrier,M,Y,2015-04-12,9.67,15.0,8.728767123287671,116,2,2,0.64,8,104,44.36,803.07,115,0,1,1.7241379310344827,6.896551724137931,0.0,0.8620689655172413,0.32,0.42653846153846153,6.983217391304348
Negro,UR870607,Mix,M,Y,2015-04-14,15.77,27.5,8.723287671232876,84,10,16,2.82,5,53,24.09000000000001,421.06999999999994,84,0,0,11.904761904761903,5.952380952380952,0.0,0.0,0.17625,0.45452830188679266,5.012738095238094
Agnes,PO831026,Border Collie,F,Y,2015-09-24,18.02,32.5,8.276712328767124,33,0,0,0.0,5,28,29.43,160.5,32,1,0,0.0,15.151515151515152,3.0303030303030303,0.0,,1.0510714285714287,5.015625
Speedy,DM850705,Mix,M,Y,2015-11-07,14.91,25.0,8.156164383561643,71,0,0,0.0,9,62,29.110000000000007,359.34,70,1,0,0.0,12.676056338028168,1.4084507042253522,0.0,,0.46951612903225814,5.1334285714285715
Ted,MB801205,Border Collie,M,Y,2016-05-02,16.52,30.0,7.671232876712328,30,0,0,0.0,1,29,82.33999999999999,99.70000000000002,21,0,9,0.0,3.3333333333333335,0.0,30.0,,2.839310344827586,4.7476190476190485
Gerry,OK870605,Australian Kelpie,M,Y,2016-09-03,14.04,25.0,7.331506849315068,71,0,10,1.53,3,58,13.54,312.74,69,0,2,0.0,4.225352112676056,0.0,2.8169014084507045,0.153,0.23344827586206895,4.532463768115942
Bailey,KL920415,Border Collie,F,Y,2017-05-04,18.16,32.5,6.6657534246575345,109,6,13,4.2700000000000005,15,75,77.95,498.19999999999976,104,0,5,5.5045871559633035,13.761467889908257,0.0,4.587155963302752,0.32846153846153847,1.0393333333333334,4.790384615384613
Enola,BV810323,Border Collie,F,Y,2017-05-31,18.06,32.5,6.5917808219178085,188,15,140,18.744,1,32,10.36,745.9000000000005,188,0,0,7.9787234042553195,0.5319148936170213,0.0,0.0,0.13388571428571427,0.32375,3.9675531914893645
Sara,AT991109,Border Collie,F,Y,2017-08-25,15.84,27.5,6.3561643835616435,60,0,0,0.0,4,56,8.51,267.40000000000003,59,0,1,0.0,6.666666666666667,0.0,1.6666666666666667,,0.15196428571428572,4.532203389830509
