division,when,team1,team2,time_tot,win,hurdles,name1,start_chng1,time1,name2,start_chng2,time2,name3,start_chng3,time3,name4,start_chng4,time4,event,course_color
1,2020-01-01 10:11:57,WildRunners dreamers,WildRunners Maximini,17.01,L,25.0,Sunny,-0.24,4.21,Dixie,0.3,4.24,Alex,0.16,4.22,Hector,0.0,4.13,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:11:57,WildRunners Maximini,WildRunners dreamers,19.43,L,25.0,Brooke,-0.11,4.08,Rocky,1.29,5.15,Bella,0.23,4.52,Bree,0.0,4.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:13:25,WildRunners dreamers,WildRunners Maximini,17.42,W,25.0,Sunny,0.02,4.25,Dixie,0.15,4.23,Alex,0.34,4.25,Hector,0.0,4.18,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:13:25,WildRunners Maximini,WildRunners dreamers,18.59,L,25.0,Brooke,-0.63,4.25,Rocky,0.79,5.5,Bella,0.16,4.56,Bree,-0.33,4.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:15:06,WildRunners dreamers,WildRunners Maximini,16.73,W,25.0,Sunny,-0.06,4.21,Dixie,-0.19,4.29,Alex,0.12,4.27,Hector,-1.0,4.08,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:15:06,WildRunners Maximini,WildRunners dreamers,18.01,L,25.0,Brooke,-0.59,4.28,Rocky,0.54,5.16,Bella,-1.0,4.57,Bree,-0.17,4.22,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:37:19,WildRunners hopefuls,FOFR DOG,16.14,L,27.5,Enola,0.2,3.87,Maggie,0.13,3.97,Tyna,-1.0,4.1,Moon,-1.0,3.87,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:37:19,FOFR DOG,WildRunners hopefuls,18.43,L,22.5,Hessie,-0.06,4.76,Dizzy,0.0,4.41,Tex,0.32,3.85,Ogi,0.36,4.78,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:38:44,WildRunners hopefuls,FOFR DOG,16.27,L,27.5,Enola,0.12,3.93,Maggie,0.16,4.0,Tyna,0.12,4.08,Moon,-1.0,3.87,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:38:44,FOFR DOG,WildRunners hopefuls,18.43,W,22.5,Hessie,0.28,4.69,Dizzy,0.0,4.42,Tex,0.46,3.83,Ogi,0.0,4.75,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
1,2020-01-01 10:40:15,WildRunners hopefuls,FOFR DOG,16.24,L,27.5,Enola,0.13,3.89,Maggie,-1.0,4.02,Tyna,0.0,4.11,Moon,0.2,3.91,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
1,2020-01-01 10:40:15,FOFR DOG,WildRunners hopefuls,27.51,W,22.5,Hessie,0.43,4.72,Dizzy,0.0,4.41,Tex,0.31,3.92,Ogi,0.18,4.72,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:49:45,FOFR DOG future,WildRunners XXL,32.79,W,22.5,Ela,0.15,4.19,Lenny,-1.0,4.88,Elli,0.42,4.91,Sigy,0.77,5.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:49:45,WildRunners XXL,FOFR DOG future,38.16,L,15.0,Dusty,0.85,6.07,Gordon,0.48,6.9,Agnes,1.13,4.76,Angie,0.7,5.28,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:51:02,FOFR DOG future,WildRunners XXL,20.32,W,22.5,Ela,0.15,4.24,Lenny,0.0,4.41,Elli,0.33,5.05,Sigy,0.95,5.21,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:51:02,WildRunners XXL,FOFR DOG future,25.01,L,15.0,Dusty,0.5,6.18,Gordon,0.3,6.71,Agnes,1.02,4.75,Angie,0.45,5.1,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:53:04,FOFR DOG future,WildRunners XXL,63.85,L,22.5,Ela,0.26,4.21,Lenny,-1.0,4.21,Elli,-1.0,5.0,Sigy,0.67,5.11,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:53:04,WildRunners XXL,FOFR DOG future,37.64,W,15.0,Jasper,1.28,,Gordon,-1.0,6.68,Agnes,0.61,4.56,Angie,0.43,5.14,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 10:54:28,FOFR DOG future,WildRunners XXL,20.06,W,22.5,Ela,0.15,4.21,Lenny,0.0,4.17,Elli,0.64,4.98,Sigy,0.74,5.17,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 10:54:28,WildRunners XXL,FOFR DOG future,35.61,L,15.0,Jasper,0.21,5.45,Gordon,0.67,6.86,Agnes,0.61,4.64,Angie,-1.0,,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:03:07,WildRunners Zephyr,Hopíci Brno,22.5,W,27.5,Falco,0.04,4.29,Negro,1.87,4.74,Mason,-1.0,5.01,Hank,1.85,4.68,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
2,2020-01-01 11:03:07,Hopíci Brno,WildRunners Zephyr,23.89,L,17.5,Estee,0.25,4.34,Zelí,0.96,4.96,Dex,2.24,4.4,Tarry,1.67,5.06,Hanácké škvarek (Heroltice) 2023. április 22-23.,red
2,2020-01-01 11:04:21,WildRunners Zephyr,Hopíci Brno,20.95,W,27.5,Falco,0.16,4.19,Negro,1.69,4.78,Mason,0.0,4.97,Hank,0.51,4.66,Hanácké škvarek (Heroltice) 2023. április 22-23.,blue
