date,city,hour,minute,temperature,feels_like,humidity,wind_speed,weather,rain
2023-04-22,Heroltice,8,0,8.99,7.8,74,2.26,Clear,0.0
2023-04-22,Heroltice,8,20,10.14,9.04,70,2.26,Clear,0.0
2023-04-22,Heroltice,8,40,13.33,12.26,59,2.26,Clear,0.0
2023-04-22,Heroltice,9,0,11.86,10.8,65,2.26,Clear,0.0
2023-04-22,Heroltice,9,20,13.64,12.65,61,2.26,Clear,0.0
2023-04-22,Heroltice,9,40,14.58,13.53,55,2.58,Clear,0.0
2023-04-22,Heroltice,10,0,15.58,14.5,50,2.58,Clear,0.0
2023-04-22,Heroltice,10,20,16.49,15.45,48,2.58,Clear,0.0
2023-04-22,Heroltice,10,40,18.22,17.19,42,2.8,Clear,0.0
2023-04-22,Heroltice,11,0,17.82,16.88,47,2.8,Clear,0.0
2023-04-22,Heroltice,11,20,18.02,17.05,45,2.8,Clear,0.0
2023-04-22,Heroltice,11,40,18.91,17.9,40,3.04,Clear,0.0
2023-04-22,Heroltice,12,0,18.67,17.72,43,3.04,Clear,0.0
2023-04-22,Heroltice,12,20,18.85,17.97,45,3.04,Clear,0.0
2023-04-22,Heroltice,12,40,19.68,18.7,38,3.49,Clear,0.0
2023-04-22,Heroltice,13,0,19.57,18.6,39,3.49,Clear,0.0
2023-04-22,Heroltice,13,20,19.93,18.94,37,3.49,Clear,0.0
2023-04-22,Heroltice,13,40,19.82,18.85,38,3.68,Clear,0.0
2023-04-22,Heroltice,14,0,19.25,18.33,42,3.68,Clear,0.0
2023-04-22,Heroltice,14,20,19.89,18.98,40,3.68,Clear,0.0
2023-04-22,Heroltice,14,40,20.29,19.42,40,3.85,Clear,0.0
2023-04-22,Heroltice,15,0,20.4,19.44,36,3.85,Clear,0.0
2023-04-22,Heroltice,15,20,19.99,18.98,36,3.85,Clear,0.0
2023-04-22,Heroltice,15,40,20.17,19.18,36,3.95,Clear,0.0
2023-04-22,Heroltice,16,0,20.42,19.48,37,3.95,Clear,0.0
2023-04-22,Heroltice,16,20,19.64,18.73,41,3.95,Clear,0.0
2023-04-22,Heroltice,16,40,19.65,18.72,40,3.98,Clear,0.0
2023-04-22,Heroltice,17,0,19.9,18.96,39,3.98,Clear,0.0
2023-04-22,Heroltice,17,20,19.49,18.51,39,3.98,Clear,0.0
2023-04-22,Heroltice,17,40,17.54,16.5,44,3.44,Clear,0.0
2023-04-22,Heroltice,18,0,19.34,18.32,38,3.44,Clear,0.0
2023-04-22,Heroltice,18,20,18.93,17.92,40,3.44,Clear,0.0
2023-04-22,Heroltice,18,40,17.97,16.97,44,2.62,Clear,0.0
2023-04-22,Heroltice,19,0,17.96,17.01,46,2.62,Clear,0.0
2023-04-22,Heroltice,19,20,17.96,17.04,47,2.62,Clear,0.0
2023-04-22,Heroltice,19,40,15.33,14.41,57,2.45,Clear,0.0
2023-04-23,Heroltice,8,0,9.73,8.9,76,1.97,Clouds,0.0
2023-04-23,Heroltice,8,20,10.96,10.02,73,1.97,Clouds,0.0
2023-04-23,Heroltice,8,40,12.52,11.58,67,1.95,Clouds,0.0
2023-04-23,Heroltice,9,0,13.89,13.01,64,1.95,Clouds,0.0
2023-04-23,Heroltice,9,20,13.19,12.29,66,1.95,Clouds,0.0
2023-04-23,Heroltice,9,40,15.46,14.58,58,1.9,Clouds,0.0
2023-04-23,Heroltice,10,0,15.15,14.21,57,1.9,Clouds,0.0
2023-04-23,Heroltice,10,20,15.82,15.05,61,1.9,Clouds,0.0
2023-04-23,Heroltice,10,40,17.35,16.47,51,1.93,Clouds,0.0
2023-04-23,Heroltice,11,0,17.54,16.68,51,1.93,Clouds,0.0
2023-04-23,Heroltice,11,20,17.26,16.45,54,1.93,Clouds,0.0
2023-04-23,Heroltice,11,40,18.27,17.43,49,1.9,Clouds,0.0
2023-04-23,Heroltice,12,0,18.43,17.71,53,1.9,Clouds,0.0
2023-04-23,Heroltice,12,20,19.36,18.68,51,1.9,Clouds,0.0
2023-04-23,Heroltice,12,40,19.47,18.7,47,1.44,Clouds,0.0
2023-04-23,Heroltice,13,0,20.01,19.27,46,1.44,Clouds,0.0
2023-04-23,Heroltice,13,20,19.94,19.16,45,1.44,Clouds,0.0
2023-04-23,Heroltice,13,40,19.85,19.09,46,0.67,Clouds,0.0
2023-04-23,Heroltice,14,0,20.22,19.52,47,0.67,Clouds,0.0
2023-04-23,Heroltice,14,20,20.35,19.72,49,0.67,Clouds,0.0
2023-04-23,Heroltice,14,40,20.48,19.86,49,0.6,Clouds,0.0
2023-04-23,Heroltice,15,0,20.47,19.88,50,0.6,Clouds,0.0
2023-04-23,Heroltice,15,20,20.0,19.39,51,0.6,Clouds,0.0
2023-04-23,Heroltice,15,40,20.1,19.52,52,1.78,Clouds,0.0
2023-04-23,Heroltice,16,0,20.11,19.51,51,1.78,Clouds,0.0
2023-04-23,Heroltice,16,20,20.08,19.5,52,1.78,Clouds,0.0
2023-04-23,Heroltice,16,40,19.69,19.1,53,2.06,Clouds,0.0
2023-04-23,Heroltice,17,0,19.94,19.37,53,2.06,Clouds,0.0
2023-04-23,Heroltice,17,20,19.66,18.99,50,2.06,Clouds,0.0
2023-04-23,Heroltice,17,40,19.4,18.78,53,2.31,Clouds,0.0
2023-04-23,Heroltice,18,0,19.4,18.78,53,2.31,Clouds,0.0
2023-04-23,Heroltice,18,20,19.39,18.77,53,2.31,Clouds,0.0
2023-04-23,Heroltice,18,40,17.15,16.64,66,1.81,Clouds,0.0
2023-04-23,Heroltice,19,0,17.2,16.44,56,1.81,Clouds,0.0
2023-04-23,Heroltice,19,20,17.2,16.49,58,1.81,Clouds,0.0
2023-04-23,Heroltice,19,40,15.52,15.09,75,2.26,Clouds,0.0
2023-05-06,Žamberk,8,0,10.64,9.64,72,1.83,Rain,2.14
